# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.replace.by.source.ms,1760626500661000000,1760626560655000000,0
jps.global.get.libraries.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1760626500661000000,1760626560655000000,0
jps.global.handle.changed.events.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1760626500661000000,1760626560655000000,0
workspaceModel.load.cache.metadata.from.file.ms,1760626500661000000,1760626560655000000,0
jps.load.initial.state.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.instances.count,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1760626500661000000,1760626560655000000,0
workspaceModel.sync.entities.ms,1760626500661000000,1760626560655000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsStored,1760626500661000000,1760626560655000000,0
VFS.fileByIdCache.hits,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsRead,1760626500661000000,1760626560655000000,0
VFS.fileByIdCache.misses,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsUncompressedSize,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsReadDecompressed,1760626500661000000,1760626560655000000,0
VFS.invertedFileNameIndex.requests,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsStoredCompressed,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsStoredSize,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsDeduplicated,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1760626500661000000,1760626560655000000,0
FileNameCache.totalMisses,1760626500661000000,1760626560655000000,0
VFS.fileChildByName,1760626500661000000,1760626560655000000,8
FileNameCache.queries,1760626500661000000,1760626560655000000,0
VFS.contentStorage.recordsReadSize,1760626500661000000,1760626560655000000,0
IndexesFlusher.totalFlushesRetried,1760626500661000000,1760626560655000000,0
